1	1	1	Cardiovascular		\N	2020-09-10 20:43:26.560757+00	2020-09-10 20:43:26.56078+00	\N
2	1	2	Serum		\N	2020-09-10 20:43:26.563244+00	2020-09-10 20:43:26.563256+00	1
3	1	3	Fatty Acids		\N	2020-09-10 20:43:26.565041+00	2020-09-10 20:43:26.565051+00	2
4	1	4	Clinical Chemistry		\N	2020-09-10 20:43:26.566252+00	2020-09-10 20:43:26.566262+00	3
5	1	5	Fatty Acid Balance		\N	2020-09-10 20:43:26.567439+00	2020-09-10 20:43:26.56745+00	4
6	1	5	Fatty Acids, Total		\N	2020-09-10 20:43:26.568608+00	2020-09-10 20:43:26.568619+00	4
7	1	2	Vasculature		\N	2020-09-10 20:43:26.576602+00	2020-09-10 20:43:26.576617+00	1
8	1	3	Morphological Abnormality		\N	2020-09-10 20:43:26.578093+00	2020-09-10 20:43:26.578104+00	7
9	1	4	Clinical Observation		\N	2020-09-10 20:43:26.579292+00	2020-09-10 20:43:26.579303+00	8
10	1	5	Embolus, Aortic		\N	2020-09-10 20:43:26.580393+00	2020-09-10 20:43:26.580403+00	9
11	1	3	Non-Neoplastic Lesions		\N	2020-09-10 20:43:26.58522+00	2020-09-10 20:43:26.585233+00	7
12	1	4	Histopathology		\N	2020-09-10 20:43:26.586689+00	2020-09-10 20:43:26.586719+00	11
13	1	5	Submucosa, Perivascular Inflammation		\N	2020-09-10 20:43:26.588242+00	2020-09-10 20:43:26.588272+00	12
14	1	2	Heart		\N	2020-09-10 20:43:26.604209+00	2020-09-10 20:43:26.604237+00	1
15	1	3	Non-Neoplastic Lesions		\N	2020-09-10 20:43:26.606084+00	2020-09-10 20:43:26.606111+00	14
16	1	4	Histopathology		\N	2020-09-10 20:43:26.607962+00	2020-09-10 20:43:26.607995+00	15
17	1	5	Cardiomyopathy		\N	2020-09-10 20:43:26.609571+00	2020-09-10 20:43:26.60959+00	16
18	1	5	Heart, Neoplasms		\N	2020-09-10 20:43:26.611159+00	2020-09-10 20:43:26.611178+00	16
19	1	5	Heart, Non-Neoplastic Lesions		\N	2020-09-10 20:43:26.612654+00	2020-09-10 20:43:26.612673+00	16
20	1	3	Organ Weight		\N	2020-09-10 20:43:26.620509+00	2020-09-10 20:43:26.620531+00	14
21	1	4	Absolute		\N	2020-09-10 20:43:26.621953+00	2020-09-10 20:43:26.621974+00	20
22	1	5	Heart Weight, Absolute		\N	2020-09-10 20:43:26.623389+00	2020-09-10 20:43:26.623411+00	21
23	1	5	Heart Weight, Absolute, Recovery		\N	2020-09-10 20:43:26.625082+00	2020-09-10 20:43:26.625112+00	21
24	1	4	Relative		\N	2020-09-10 20:43:26.630097+00	2020-09-10 20:43:26.630119+00	20
25	1	5	Heart Weight, Relative		\N	2020-09-10 20:43:26.631594+00	2020-09-10 20:43:26.631612+00	24
26	1	5	Heart Weight, Relative to Brain		\N	2020-09-10 20:43:26.633024+00	2020-09-10 20:43:26.633046+00	24
27	1	5	Heart Weight, Relative to Brain, Recovery		\N	2020-09-10 20:43:26.634521+00	2020-09-10 20:43:26.63454+00	24
28	1	5	Heart Weight, Relative, Recovery		\N	2020-09-10 20:43:26.636086+00	2020-09-10 20:43:26.636105+00	24
29	1	3	Physiological Function		\N	2020-09-10 20:43:26.644306+00	2020-09-10 20:43:26.644328+00	14
30	1	4	Molecular Function		\N	2020-09-10 20:43:26.645854+00	2020-09-10 20:43:26.645872+00	29
31	1	5	[3H]-Triolein Heart Uptake		\N	2020-09-10 20:43:26.647328+00	2020-09-10 20:43:26.647346+00	30
32	1	5	Heart [14C]-Cholesteryl Oleate Uptake		\N	2020-09-10 20:43:26.649004+00	2020-09-10 20:43:26.649033+00	30
33	1	5	Heart [3H]TO		\N	2020-09-10 20:43:26.650497+00	2020-09-10 20:43:26.650513+00	30
34	1	2	Blood		\N	2020-09-10 20:43:26.660565+00	2020-09-10 20:43:26.660583+00	1
35	1	3	Physiological Function		\N	2020-09-10 20:43:26.661984+00	2020-09-10 20:43:26.661998+00	34
36	1	4	Molecular Function		\N	2020-09-10 20:43:26.663245+00	2020-09-10 20:43:26.663259+00	35
37	1	5	Hepatic Lipase (HL) Activity		\N	2020-09-10 20:43:26.664618+00	2020-09-10 20:43:26.664631+00	36
38	1	5	Lipoprotein Lipase (LPL) Activity		\N	2020-09-10 20:43:26.665777+00	2020-09-10 20:43:26.66579+00	36
39	1	1	Dermal		\N	2020-09-10 20:43:26.67821+00	2020-09-10 20:43:26.678224+00	\N
40	1	2	Skin		\N	2020-09-10 20:43:26.679592+00	2020-09-10 20:43:26.679606+00	39
41	1	3	Abnormal Appearance		\N	2020-09-10 20:43:26.680771+00	2020-09-10 20:43:26.680782+00	40
42	1	4	Clinical Observation		\N	2020-09-10 20:43:26.682421+00	2020-09-10 20:43:26.682434+00	41
43	1	5	Dermal Layer Missing		\N	2020-09-10 20:43:26.683968+00	2020-09-10 20:43:26.683979+00	42
44	1	5	Ruffled Fur		\N	2020-09-10 20:43:26.685598+00	2020-09-10 20:43:26.68561+00	42
45	1	5	Urine-Stained Abdominal Fur		\N	2020-09-10 20:43:26.687672+00	2020-09-10 20:43:26.687706+00	42
46	1	5	Yellow Skin		\N	2020-09-10 20:43:26.689686+00	2020-09-10 20:43:26.689717+00	42
47	1	3	Alopecia		\N	2020-09-10 20:43:26.702406+00	2020-09-10 20:43:26.702438+00	40
48	1	4	Clinical Observation		\N	2020-09-10 20:43:26.704581+00	2020-09-10 20:43:26.704611+00	47
49	1	5	Alopecia		\N	2020-09-10 20:43:26.706652+00	2020-09-10 20:43:26.706681+00	48
50	1	5	Localized Alopecia, Back		\N	2020-09-10 20:43:26.708672+00	2020-09-10 20:43:26.708693+00	48
51	1	5	Localized Alopecia, Limbs		\N	2020-09-10 20:43:26.710848+00	2020-09-10 20:43:26.710875+00	48
52	1	5	Localized Alopecia, Neck		\N	2020-09-10 20:43:26.71301+00	2020-09-10 20:43:26.713037+00	48
53	1	5	Localized Alopecia, Underside		\N	2020-09-10 20:43:26.715039+00	2020-09-10 20:43:26.715063+00	48
54	1	3	Neoplastic Lesions		\N	2020-09-10 20:43:26.727799+00	2020-09-10 20:43:26.727833+00	40
55	1	4	Histopathology		\N	2020-09-10 20:43:26.72978+00	2020-09-10 20:43:26.729799+00	54
56	1	5	Skin, Neoplasms		\N	2020-09-10 20:43:26.731892+00	2020-09-10 20:43:26.731922+00	55
57	1	3	Non-Neoplastic Lesions		\N	2020-09-10 20:43:26.740835+00	2020-09-10 20:43:26.740857+00	40
58	1	4	Clinical Observation		\N	2020-09-10 20:43:26.742587+00	2020-09-10 20:43:26.742618+00	57
59	1	5	Skin Lesions		\N	2020-09-10 20:43:26.744408+00	2020-09-10 20:43:26.744438+00	58
60	1	4	Histopathology		\N	2020-09-10 20:43:26.749339+00	2020-09-10 20:43:26.749359+00	57
61	1	5	Skin, Non-Neoplastic Lesions		\N	2020-09-10 20:43:26.751036+00	2020-09-10 20:43:26.751052+00	60
62	1	3	Scabbing		\N	2020-09-10 20:43:26.758837+00	2020-09-10 20:43:26.758854+00	40
63	1	4	Clinical Observation		\N	2020-09-10 20:43:26.760295+00	2020-09-10 20:43:26.760309+00	62
64	1	5	Scab		\N	2020-09-10 20:43:26.761984+00	2020-09-10 20:43:26.762017+00	63
65	1	5	Scabbed Area, Back		\N	2020-09-10 20:43:26.76368+00	2020-09-10 20:43:26.763711+00	63
66	1	5	Scabbed Area, Neck		\N	2020-09-10 20:43:26.765327+00	2020-09-10 20:43:26.765356+00	63
67	1	2	Tail		\N	2020-09-10 20:43:26.781921+00	2020-09-10 20:43:26.781944+00	39
68	1	3	Abnormal Appearance		\N	2020-09-10 20:43:26.783655+00	2020-09-10 20:43:26.783677+00	67
